,location,location_name,super_region_name,region_name,year,mean,global_rank,super_region_rank
955,SWZ,Swaziland,Sub-Saharan Africa,Southern Sub-Saharan Africa,1995,0.228,30.0,2.0
961,SYC,Seychelles,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.157,86.0,6.0
973,TCD,Chad,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.035,170.0,40.0
979,TGO,Togo,Sub-Saharan Africa,Western Sub-Saharan Africa,1995,0.04,167.0,39.0
1039,TZA,Tanzania,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.065,153.0,31.0
1045,UGA,Uganda,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.031,176.0,44.0
1111,ZAF,South Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,1995,0.223,32.0,3.0
1117,ZMB,Zambia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,1995,0.076,147.0,28.0
1123,ZWE,Zimbabwe,Sub-Saharan Africa,Southern Sub-Saharan Africa,1995,0.085,143.0,25.0
13,ALB,Albania,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.08,145.0,29.0
37,ARM,Armenia,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.157,86.0,19.5
61,AZE,Azerbaijan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.139,101.5,24.0
97,BGR,Bulgaria,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.192,53.5,7.0
115,BIH,Bosnia and Herzegovina,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.159,82.5,17.0
121,BLR,Belarus,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1995,0.11,124.0,26.5
259,CZE,Czech Republic,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.187,57.5,9.5
325,EST,Estonia,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1995,0.194,50.0,5.5
373,GEO,Georgia,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.153,91.5,22.0
439,HRV,Croatia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.161,78.5,16.0
451,HUN,Hungary,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.225,31.0,1.0
523,KAZ,Kazakhstan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.173,68.0,13.0
535,KGZ,Kyrgyzstan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.141,100.0,23.0
607,LTU,Lithuania,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1995,0.187,57.5,9.5
619,LVA,Latvia,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1995,0.218,38.0,2.0
631,MDA,Moldova,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1995,0.195,48.0,4.0
661,MKD,Macedonia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.167,74.0,15.0
685,MNE,Montenegro,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.194,50.0,5.5
691,MNG,Mongolia,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.11,124.0,26.5
811,POL,Poland,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.185,60.0,11.0
847,ROU,Romania,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.158,84.0,18.0
853,RUS,Russia,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1995,0.191,55.0,8.0
913,SRB,Serbia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.157,86.0,19.5
937,SVK,Slovakia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.199,45.5,3.0
943,SVN,Slovenia,"Central Europe, Eastern Europe, and Central Asia",Central Europe,1995,0.171,69.0,14.0
991,TJK,Tajikistan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.103,132.5,28.0
997,TKM,Turkmenistan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.155,90.0,21.0
1051,UKR,Ukraine,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,1995,0.182,62.0,12.0
1069,UZB,Uzbekistan,"Central Europe, Eastern Europe, and Central Asia",Central Asia,1995,0.12,117.0,25.0
19,AND,Andorra,High-income,Western Europe,1995,0.074,149.0,29.0
31,ARG,Argentina,High-income,Southern Latin America,1995,0.219,37.0,7.0
49,AUS,Australia,High-income,Australasia,1995,0.183,61.0,15.0
55,AUT,Austria,High-income,Western Europe,1995,0.153,91.5,25.0
73,BEL,Belgium,High-income,Western Europe,1995,0.186,59.0,14.0
151,BRN,Brunei,High-income,High-income Asia Pacific,1995,0.03,177.0,32.0
175,CAN,Canada,High-income,High-income North America,1995,0.19,56.0,13.0
181,CHE,Switzerland,High-income,Western Europe,1995,0.146,98.0,27.0
187,CHL,Chile,High-income,Southern Latin America,1995,0.234,26.0,2.0
253,CYP,Cyprus,High-income,Western Europe,1995,0.232,28.0,4.0
265,DEU,Germany,High-income,Western Europe,1995,0.194,50.0,12.0
283,DNK,Denmark,High-income,Western Europe,1995,0.16,80.5,23.0
319,ESP,Spain,High-income,Western Europe,1995,0.202,42.5,10.0
337,FIN,Finland,High-income,Western Europe,1995,0.174,67.0,19.0
349,FRA,France,High-income,Western Europe,1995,0.169,71.5,21.0
367,GBR,United Kingdom,High-income,Western Europe,1995,0.17,70.0,20.0
409,GRC,Greece,High-income,Western Europe,1995,0.177,65.0,18.0
469,IRL,Ireland,High-income,Western Europe,1995,0.181,63.0,16.0
487,ISL,Iceland,High-income,Western Europe,1995,0.221,35.0,6.0
493,ISR,Israel,High-income,Western Europe,1995,0.212,39.0,8.0
499,ITA,Italy,High-income,Western Europe,1995,0.159,82.5,24.0
517,JPN,Japan,High-income,High-income Asia Pacific,1995,0.025,180.5,33.0
553,KOR,South Korea,High-income,High-income Asia Pacific,1995,0.058,156.0,31.0
613,LUX,Luxembourg,High-income,Western Europe,1995,0.206,41.0,9.0
673,MLT,Malta,High-income,Western Europe,1995,0.255,22.0,1.0
751,NLD,Netherlands,High-income,Western Europe,1995,0.126,113.0,28.0
757,NOR,Norway,High-income,Western Europe,1995,0.151,94.0,26.0
769,NZL,New Zealand,High-income,Australasia,1995,0.178,64.0,17.0
823,PRT,Portugal,High-income,Western Europe,1995,0.197,47.0,11.0
883,SGP,Singapore,High-income,High-income Asia Pacific,1995,0.068,150.5,30.0
949,SWE,Sweden,High-income,Western Europe,1995,0.167,74.0,22.0
1057,URY,Uruguay,High-income,Southern Latin America,1995,0.233,27.0,3.0
1063,USA,United States,High-income,High-income North America,1995,0.231,29.0,5.0
25,ARE,United Arab Emirates,North Africa and Middle East,North Africa and Middle East,1995,0.272,18.0,10.0
103,BHR,Bahrain,North Africa and Middle East,North Africa and Middle East,1995,0.288,13.5,6.0
295,DZA,Algeria,North Africa and Middle East,North Africa and Middle East,1995,0.144,99.0,17.0
307,EGY,Egypt,North Africa and Middle East,North Africa and Middle East,1995,0.305,10.5,5.0
475,IRN,Iran,North Africa and Middle East,North Africa and Middle East,1995,0.193,52.0,14.0
481,IRQ,Iraq,North Africa and Middle East,North Africa and Middle East,1995,0.287,15.5,7.5
511,JOR,Jordan,North Africa and Middle East,North Africa and Middle East,1995,0.321,8.5,4.0
559,KWT,Kuwait,North Africa and Middle East,North Africa and Middle East,1995,0.375,7.0,3.0
571,LBN,Lebanon,North Africa and Middle East,North Africa and Middle East,1995,0.24,25.0,13.0
583,LBY,Libya,North Africa and Middle East,North Africa and Middle East,1995,0.417,5.0,2.0
625,MAR,Morocco,North Africa and Middle East,North Africa and Middle East,1995,0.163,77.0,16.0
775,OMN,Oman,North Africa and Middle East,North Africa and Middle East,1995,0.169,71.5,15.0
835,PSE,Palestine,North Africa and Middle East,North Africa and Middle East,1995,0.287,15.5,7.5
841,QAT,Qatar,North Africa and Middle East,North Africa and Middle East,1995,0.487,3.0,1.0
865,SAU,Saudi Arabia,North Africa and Middle East,North Africa and Middle East,1995,0.271,19.0,11.0
871,SDN,Sudan,North Africa and Middle East,North Africa and Middle East,1995,0.136,106.0,18.0
967,SYR,Syria,North Africa and Middle East,North Africa and Middle East,1995,0.281,17.0,9.0
1021,TUN,Tunisia,North Africa and Middle East,North Africa and Middle East,1995,0.12,117.0,20.0
1027,TUR,Turkey,North Africa and Middle East,North Africa and Middle East,1995,0.259,21.0,12.0
1105,YEM,Yemen,North Africa and Middle East,North Africa and Middle East,1995,0.132,108.5,19.0
43,ATG,Antigua and Barbuda,Latin America and Caribbean,Caribbean,1995,0.139,101.5,18.0
109,BHS,The Bahamas,Latin America and Caribbean,Caribbean,1995,0.305,10.5,1.0
127,BLZ,Belize,Latin America and Caribbean,Caribbean,1995,0.304,12.0,2.0
133,BOL,Bolivia,Latin America and Caribbean,Andean Latin America,1995,0.132,108.5,20.0
139,BRA,Brazil,Latin America and Caribbean,Tropical Latin America,1995,0.107,128.0,26.0
145,BRB,Barbados,Latin America and Caribbean,Caribbean,1995,0.222,33.5,5.5
223,COL,Colombia,Latin America and Caribbean,Central Latin America,1995,0.115,121.0,25.0
241,CRI,Costa Rica,Latin America and Caribbean,Central Latin America,1995,0.201,44.0,9.0
247,CUB,Cuba,Latin America and Caribbean,Caribbean,1995,0.175,66.0,11.0
277,DMA,Dominica,Latin America and Caribbean,Caribbean,1995,0.222,33.5,5.5
289,DOM,Dominican Republic,Latin America and Caribbean,Caribbean,1995,0.129,110.5,21.0
301,ECU,Ecuador,Latin America and Caribbean,Andean Latin America,1995,0.124,115.0,24.0
415,GRD,Grenada,Latin America and Caribbean,Caribbean,1995,0.15,95.5,16.5
421,GTM,Guatemala,Latin America and Caribbean,Central Latin America,1995,0.101,134.0,28.0
427,GUY,Guyana,Latin America and Caribbean,Caribbean,1995,0.192,53.5,10.0
433,HND,Honduras,Latin America and Caribbean,Central Latin America,1995,0.105,129.5,27.0
445,HTI,Haiti,Latin America and Caribbean,Caribbean,1995,0.068,150.5,29.0
505,JAM,Jamaica,Latin America and Caribbean,Caribbean,1995,0.164,76.0,12.0
589,LCA,Saint Lucia,Latin America and Caribbean,Caribbean,1995,0.156,88.5,14.0
649,MEX,Mexico,Latin America and Caribbean,Central Latin America,1995,0.202,42.5,8.0
745,NIC,Nicaragua,Latin America and Caribbean,Central Latin America,1995,0.16,80.5,13.0
787,PAN,Panama,Latin America and Caribbean,Central Latin America,1995,0.125,114.0,23.0
793,PER,Peru,Latin America and Caribbean,Andean Latin America,1995,0.127,112.0,22.0
829,PRY,Paraguay,Latin America and Caribbean,Tropical Latin America,1995,0.242,24.0,4.0
901,SLV,El Salvador,Latin America and Caribbean,Central Latin America,1995,0.152,93.0,15.0
931,SUR,Suriname,Latin America and Caribbean,Caribbean,1995,0.209,40.0,7.0
1015,TTO,Trinidad and Tobago,Latin America and Caribbean,Caribbean,1995,0.254,23.0,3.0
1075,VCT,Saint Vincent and the Grenadines,Latin America and Caribbean,Caribbean,1995,0.15,95.5,16.5
1081,VEN,Venezuela,Latin America and Caribbean,Central Latin America,1995,0.138,103.5,19.0
193,CHN,China,"Southeast Asia, East Asia, and Oceania",East Asia,1995,0.024,182.0,21.0
343,FJI,Fiji,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.22,36.0,7.0
355,FSM,Federated States of Micronesia,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.39,6.0,4.0
457,IDN,Indonesia,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.032,174.0,19.0
541,KHM,Cambodia,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.015,187.0,22.0
547,KIR,Kiribati,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.442,4.0,3.0
565,LAO,Laos,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.045,161.0,14.5
595,LKA,Sri Lanka,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.039,168.0,17.0
643,MDV,Maldives,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.103,132.5,10.0
655,MHL,Marshall Islands,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.321,8.5,5.0
679,MMR,Myanmar,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.052,157.5,12.5
721,MYS,Malaysia,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.118,119.0,9.0
799,PHL,Philippines,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.037,169.0,18.0
805,PNG,Papua New Guinea,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.09,142.0,11.0
817,PRK,North Korea,"Southeast Asia, East Asia, and Oceania",East Asia,1995,0.025,180.5,20.0
889,SLB,Solomon Islands,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.288,13.5,6.0
985,THA,Thailand,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.052,157.5,12.5
1003,TLS,Timor-Leste,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.045,161.0,14.5
1009,TON,Tonga,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.561,1.0,1.0
1033,TWN,Taiwan,"Southeast Asia, East Asia, and Oceania",East Asia,1995,0.042,164.5,16.0
1087,VNM,Vietnam,"Southeast Asia, East Asia, and Oceania",Southeast Asia,1995,0.012,188.0,23.0
1093,VUT,Vanuatu,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.161,78.5,8.0
1099,WSM,Samoa,"Southeast Asia, East Asia, and Oceania",Oceania,1995,0.521,2.0,2.0
2,AFG,Afghanistan,South Asia,South Asia,2000,0.14,109.0,1.0
92,BGD,Bangladesh,South Asia,South Asia,2000,0.027,182.0,5.0
158,BTN,Bhutan,South Asia,South Asia,2000,0.134,114.0,2.0
464,IND,India,South Asia,South Asia,2000,0.036,174.0,4.0
764,NPL,Nepal,South Asia,South Asia,2000,0.02,186.0,6.0
782,PAK,Pakistan,South Asia,South Asia,2000,0.124,120.5,3.0
8,AGO,Angola,Sub-Saharan Africa,Central Sub-Saharan Africa,2000,0.128,117.0,13.0
68,BDI,Burundi,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.029,180.0,45.0
80,BEN,Benin,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.077,153.5,31.5
86,BFA,Burkina Faso,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.053,161.0,36.0
164,BWA,Botswana,Sub-Saharan Africa,Southern Sub-Saharan Africa,2000,0.149,102.0,10.0
170,CAF,Central African Republic,Sub-Saharan Africa,Central Sub-Saharan Africa,2000,0.071,155.0,33.0
200,CIV,Cote d'Ivoire,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.068,156.0,34.0
206,CMR,Cameroon,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.122,123.0,14.0
212,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Central Sub-Saharan Africa,2000,0.043,168.0,39.0
218,COG,Congo,Sub-Saharan Africa,Central Sub-Saharan Africa,2000,0.112,132.5,18.0
230,COM,Comoros,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.11,134.0,19.0
236,CPV,Cape Verde,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.103,139.5,22.5
272,DJI,Djibouti,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.114,130.0,17.0
314,ERI,Eritrea,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.035,176.0,44.0
332,ETH,Ethiopia,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.025,183.5,47.0
362,GAB,Gabon,Sub-Saharan Africa,Central Sub-Saharan Africa,2000,0.157,97.0,8.0
380,GHA,Ghana,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.077,153.5,31.5
386,GIN,Guinea,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.049,163.0,38.0
392,GMB,The Gambia,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.104,137.5,20.5
398,GNB,Guinea-Bissau,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.141,107.5,11.0
404,GNQ,Equatorial Guinea,Sub-Saharan Africa,Central Sub-Saharan Africa,2000,0.277,20.0,1.0
530,KEN,Kenya,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.101,141.0,24.0
578,LBR,Liberia,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.155,98.0,9.0
602,LSO,Lesotho,Sub-Saharan Africa,Southern Sub-Saharan Africa,2000,0.183,73.0,6.0
638,MDG,Madagascar,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.028,181.0,46.0
668,MLI,Mali,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.096,142.5,25.5
698,MOZ,Mozambique,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.058,158.5,35.0
704,MRT,Mauritania,Sub-Saharan Africa,Western Sub-Saharan Africa,2000,0.165,89.0,7.0
710,MUS,Mauritius,Sub-Saharan Africa,Eastern Sub-Saharan Africa,2000,0.115,128.0,15.5
